Job 3699           , total_duration: 296.710016ms   , real_time_elapsed: 300.385056ms   
Job 3698           , total_duration: 14.499ms       , real_time_elapsed: 100.087301ms   
Job 3723           , total_duration: 9.089200128s   , real_time_elapsed: 27.040008417s  
Job 3697           , total_duration: 628.740032ms   , real_time_elapsed: 700.952138ms   
Job 3696           , total_duration: 303.36ms       , real_time_elapsed: 400.522243ms   
Job 3695           , total_duration: 300.089984ms   , real_time_elapsed: 400.529159ms   
Job 3693           , total_duration: 78.137ms       , real_time_elapsed: 100.091765ms   
Job 3692           , total_duration: 14.477ms       , real_time_elapsed: 100.091265ms   
Job 3694           , total_duration: 1.040099968s   , real_time_elapsed: 1.30180606s    
Job 3690           , total_duration: 409.229984ms   , real_time_elapsed: 801.113422ms   
Job 3688           , total_duration: 498.78ms       , real_time_elapsed: 1.902761172s   
Job 3683           , total_duration: 49.678ms       , real_time_elapsed: 100.093381ms   
Job 3682           , total_duration: 164.65ms       , real_time_elapsed: 600.835868ms   
Job 3685           , total_duration: 847.28ms       , real_time_elapsed: 4.706861329s   
Job 3691           , total_duration: 2.182700032s   , real_time_elapsed: 8.61261707s    
Job 3680           , total_duration: 104.46ms       , real_time_elapsed: 200.244169ms   
Job 3678           , total_duration: 193.7ms        , real_time_elapsed: 901.289572ms   
Job 3684           , total_duration: 1.7428s        , real_time_elapsed: 10.215000083s  
Job 3681           , total_duration: 1.000900032s   , real_time_elapsed: 5.808530581s   
Job 3675           , total_duration: 92.326ms       , real_time_elapsed: 100.093926ms   
Job 3689           , total_duration: 2.456199936s   , real_time_elapsed: 13.720184859s  
Job 3674           , total_duration: 20.345ms       , real_time_elapsed: 100.097336ms   
Job 3676           , total_duration: 413.78ms       , real_time_elapsed: 2.002947621s   
Job 3673           , total_duration: 187.21ms       , real_time_elapsed: 600.810364ms   
Job 3671           , total_duration: 5.4007ms       , real_time_elapsed: 100.138609ms   
Job 3679           , total_duration: 1.245800064s   , real_time_elapsed: 7.110435742s   
Job 3669           , total_duration: 358.26ms       , real_time_elapsed: 1.702474479s   
Job 3677           , total_duration: 2.170700032s   , real_time_elapsed: 11.81732352s   
Job 3667           , total_duration: 416.390016ms   , real_time_elapsed: 2.103100159s   
Job 3670           , total_duration: 1.813100032s   , real_time_elapsed: 9.013199018s   
Job 3665           , total_duration: 337.52ms       , real_time_elapsed: 1.201752259s   
Job 3666           , total_duration: 900.929984ms   , real_time_elapsed: 3.705377325s   
Job 3668           , total_duration: 1.4732s        , real_time_elapsed: 6.309216938s   
Job 3659           , total_duration: 104.32ms       , real_time_elapsed: 200.287749ms   
Job 3660           , total_duration: 210.99ms       , real_time_elapsed: 801.183699ms   
Job 3663           , total_duration: 805.870016ms   , real_time_elapsed: 3.104600653s   
Job 3664           , total_duration: 1.631500032s   , real_time_elapsed: 6.209086714s   
Job 3658           , total_duration: 15.673ms       , real_time_elapsed: 100.141258ms   
Job 3657           , total_duration: 133.47ms       , real_time_elapsed: 300.386613ms   
Job 3662           , total_duration: 1.2432s        , real_time_elapsed: 5.007326956s   
Job 3656           , total_duration: 434.269984ms   , real_time_elapsed: 801.103218ms   
Job 3654           , total_duration: 203.98ms       , real_time_elapsed: 500.677384ms   
Job 3653           , total_duration: 204.16ms       , real_time_elapsed: 600.812892ms   
Job 3651           , total_duration: 223.46ms       , real_time_elapsed: 600.799916ms   
Job 3649           , total_duration: 273.58ms       , real_time_elapsed: 1.101579095s   
Job 3646           , total_duration: 344.58ms       , real_time_elapsed: 2.002929553s   
Job 3650           , total_duration: 781.629952ms   , real_time_elapsed: 4.606777884s   
Job 3647           , total_duration: 636.150016ms   , real_time_elapsed: 4.206185852s   
Job 3643           , total_duration: 287.22ms       , real_time_elapsed: 1.602320539s   
Job 3641           , total_duration: 144.2ms        , real_time_elapsed: 500.683611ms   
Job 3644           , total_duration: 784.460032ms   , real_time_elapsed: 5.307768121s   
Job 3655           , total_duration: 2.476900096s   , real_time_elapsed: 12.518395798s  
Job 3640           , total_duration: 84.775ms       , real_time_elapsed: 100.081315ms   
Job 3652           , total_duration: 2.125499904s   , real_time_elapsed: 12.017681771s  
Job 3639           , total_duration: 157.32ms       , real_time_elapsed: 400.495636ms   
Job 3638           , total_duration: 197.48ms       , real_time_elapsed: 600.812584ms   
Job 3642           , total_duration: 1.452s         , real_time_elapsed: 7.210435234s   
Job 3636           , total_duration: 164.18ms       , real_time_elapsed: 400.532262ms   
Job 3635           , total_duration: 109.73ms       , real_time_elapsed: 200.241803ms   
Job 3637           , total_duration: 988.230016ms   , real_time_elapsed: 3.30474483s    
Job 3633           , total_duration: 41.059ms       , real_time_elapsed: 100.091345ms   
Job 3634           , total_duration: 248.73ms       , real_time_elapsed: 700.977987ms   
Job 3645           , total_duration: 3.1976s        , real_time_elapsed: 14.421053847s  
