Job 9753           , total_duration: 88.252ms       , real_time_elapsed: 100.333209ms   
Job 9757           , total_duration: 2.805000192s   , real_time_elapsed: 4.21375469s    
Job 9749           , total_duration: 41.468ms       , real_time_elapsed: 100.242986ms   
Job 9748           , total_duration: 51.778ms       , real_time_elapsed: 100.156585ms   
Job 9751           , total_duration: 680.739968ms   , real_time_elapsed: 2.004618965s   
Job 9752           , total_duration: 1.1732s        , real_time_elapsed: 3.007034812s   
Job 9746           , total_duration: 190.03ms       , real_time_elapsed: 400.605166ms   
Job 9743           , total_duration: 238.57ms       , real_time_elapsed: 801.58713ms    
Job 9741           , total_duration: 198.6ms        , real_time_elapsed: 701.238835ms   
Job 9742           , total_duration: 263.069984ms   , real_time_elapsed: 1.10179242s    
Job 9745           , total_duration: 884.04ms       , real_time_elapsed: 3.607332731s   
Job 9744           , total_duration: 985.459968ms   , real_time_elapsed: 3.907205758s   
Job 9747           , total_duration: 1.890899968s   , real_time_elapsed: 6.112226312s   
Job 9738           , total_duration: 99.38ms        , real_time_elapsed: 100.125303ms   
Job 9739           , total_duration: 590.670016ms   , real_time_elapsed: 1.50234584s    
Job 9737           , total_duration: 446.88ms       , real_time_elapsed: 1.201840364s   
Job 9740           , total_duration: 2.516499968s   , real_time_elapsed: 4.307261505s   
Job 9736           , total_duration: 1.442299904s   , real_time_elapsed: 3.306295723s   
Job 9733           , total_duration: 364.749984ms   , real_time_elapsed: 1.101740555s   
Job 9735           , total_duration: 1.441300096s   , real_time_elapsed: 3.606897171s   
Job 9734           , total_duration: 1.480299904s   , real_time_elapsed: 4.10761956s    
Job 9732           , total_duration: 910.910016ms   , real_time_elapsed: 2.404647279s   
Job 9730           , total_duration: 246.21ms       , real_time_elapsed: 401.031343ms   
Job 9731           , total_duration: 1.099499904s   , real_time_elapsed: 2.705793055s   
Job 9729           , total_duration: 433.589984ms   , real_time_elapsed: 601.733935ms   
Job 9727           , total_duration: 8.306ms        , real_time_elapsed: 100.174383ms   
Job 9725           , total_duration: 96.029ms       , real_time_elapsed: 100.100685ms   
Job 9728           , total_duration: 972.529984ms   , real_time_elapsed: 1.402693226s   
Job 9722           , total_duration: 442.22ms       , real_time_elapsed: 1.503137321s   
Job 9724           , total_duration: 1.019500032s   , real_time_elapsed: 3.00660483s    
Job 9726           , total_duration: 1.286900096s   , real_time_elapsed: 3.708055627s   
Job 9723           , total_duration: 1.451699968s   , real_time_elapsed: 3.908953707s   
Job 9720           , total_duration: 500.8ms        , real_time_elapsed: 1.203611758s   
Job 9719           , total_duration: 347.050016ms   , real_time_elapsed: 902.69298ms    
Job 9716           , total_duration: 233.42ms       , real_time_elapsed: 701.881199ms   
Job 9717           , total_duration: 390.68ms       , real_time_elapsed: 1.303883117s   
Job 9713           , total_duration: 90.582ms       , real_time_elapsed: 100.176885ms   
Job 9712           , total_duration: 42.429ms       , real_time_elapsed: 100.290343ms   
Job 9718           , total_duration: 952.009984ms   , real_time_elapsed: 3.110032004s   
Job 9721           , total_duration: 3.7728s        , real_time_elapsed: 8.7259101s     
Job 9709           , total_duration: 101.45ms       , real_time_elapsed: 200.207819ms   
Job 9708           , total_duration: 3.0709ms       , real_time_elapsed: 100.099907ms   
Job 9711           , total_duration: 1.016899968s   , real_time_elapsed: 3.909772021s   
Job 9715           , total_duration: 2.06030016s    , real_time_elapsed: 7.518527994s   
Job 9707           , total_duration: 206.47ms       , real_time_elapsed: 500.597819ms   
Job 9706           , total_duration: 257.979984ms   , real_time_elapsed: 600.883764ms   
Job 9710           , total_duration: 1.978899968s   , real_time_elapsed: 6.114147829s   
Job 9714           , total_duration: 3.3296s        , real_time_elapsed: 9.5245858s     
Job 9705           , total_duration: 70.36ms        , real_time_elapsed: 100.125303ms   
Job 9704           , total_duration: 387.34ms       , real_time_elapsed: 400.492834ms   
Job 9703           , total_duration: 763.32ms       , real_time_elapsed: 801.04558ms    
Job 9702           , total_duration: 361.009984ms   , real_time_elapsed: 500.650829ms   
Job 9701           , total_duration: 2.474200064s   , real_time_elapsed: 2.504645759s   
Job 9700           , total_duration: 424.36ms       , real_time_elapsed: 500.703204ms   
Job 9699           , total_duration: 87.185ms       , real_time_elapsed: 100.148103ms   
Job 9750           , total_duration: 4.947999744s   , real_time_elapsed: 45.398841143s  
Job 9698           , total_duration: 407.209984ms   , real_time_elapsed: 501.065615ms   
Job 9696           , total_duration: 69.538ms       , real_time_elapsed: 100.104861ms   
Job 9697           , total_duration: 1.260200064s   , real_time_elapsed: 1.403598097s   
Job 9695           , total_duration: 244.64ms       , real_time_elapsed: 300.909306ms   
Job 9694           , total_duration: 467.209984ms   , real_time_elapsed: 701.773121ms   
Job 9693           , total_duration: 339.430016ms   , real_time_elapsed: 701.899876ms   
Job 9692           , total_duration: 1.015900032s   , real_time_elapsed: 1.304366579s   
